id,name,category,subCategory,availableQuantity,orderedQuantity,price,maxQuantity,color1,color2,color3,color4,size1,size2,size3,size4,size5,size6,size7
1234567d1,sony camera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d2,sony camersca,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d3,sony camescra,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d4,sony cscamera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d5,sony cascmera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d6,sony camera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d7,sony cscamera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d8,sony camera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
1234567d9,sony cascmera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
123457dd1,sony cascmera,Electronics,Tablets,10,0,30000,3,-,-,-,-,-,-,-,-,-,-,-
